instruction,input,output
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Je suis française, j'aime ma France Liberté Égalité Fraternité, malheureusement il n'y a plus beaucoup de français depuis bien longtemps, ils ont amputé ses valeurs si precieuses.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Qu'est ce qui te dérange?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",How many migrants do you host in your home at the moment? Have you ever talked to one of them?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Playing the victim and blaming other cultures for violence? Sounds like a far-right tactic to me.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Arrêtez d'écouter les médias et faites vous votre propre vérité.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","I think you'd be surprised at the number of similarities Islam shares with Christianity. It teaches love and forgiveness, not oppression.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Islam isn't incompatible with your way of life, the biggest obstacle to integration is intolerance and false fearmongering like this. How many Muslims have you met that were rapists/murderers/had slaves?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",The home of humanity is the world for those who have not yet understood that it is becoming smaller and polluted every day.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Spero che muoiano tutti.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Nous voyons de plus en plus un problème musulman.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Apportez vos preuves.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","It is not an obligation, it is a choice.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Je suis ds mon pays la France.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",The scarf is in no way an forced act. We just suffer from prejudice and ignorance. It is in no way an object that hinders freedom. It is good to work outside or travel with friends.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",It is funny how lots of Jewish and Muslim groups are coming together to fight hate crime. (insert example),non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Non è possibile tollerare di vivere assieme a persone che per la religione si uccidono!,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Islam is not a peaceful religion and does not produce the best of men. It denounces women and encourages crimes. Criminals are not all of a certain race or religion, but one race and religion produces criminals.",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",C'est une atteinte à ma liberté.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Arabi è solo una parola generica proprio come europei o americani che non considera le mille differenze esistenti e in ogni caso seminare paura è il vero gesto da condannare.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Our politicians has permitted to enter in our country this Muslim filthiness: assaults with the machete, women violation, gang sexual violences, murders. How have they the courage to do this things?",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Personally I've always reputed them people just like you and me. If you want you can try to explain your point of view.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",What do you mean? What point are you making?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","No, this is not the case.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",What exactly are you suggesting?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Si vous arrivez à me donner la definition de tous les mots que vous employez, j'écouterai peut être vos arguments, si vous en avez.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",This is demonstrably false. Radical Christian terrorism has been behind countless attacks. Terrorism can come from any group and the only thing all terrorism has in common is that it is abhorrent.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",From where do you obtained this information?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Les femmes voilées ne sont pas soumises aux dictats de la mode et au désir des hommes.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","I mean, I would not take gifts of sweets or drugs from any strange men, what is religion got to do with it?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Autant de mots décrivant votre manque de personnalité. Jolie copier-coller tiré des logorrhées de pseudo experts en terrorisme.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",So many adjectives that you stack up!,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Les musulmans sont au contraire les victimes d'un système qui les harcèle.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",L islam est une religion elle ne peut envahir personne. Chacun est libre d y adhérer où non.L islamisation est un terme inventé qui n a aucun sens. La seule raison qui vous pousse à avoir de tels propos c est la méconnaissance.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",A nation where everyone is the same sounds like a nation of robots to me.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Salve, l'Italia è un paese laico, non cristiano. E la maggioranza della nostra popolazione è ancora ampiamente cristiana, visto che i musulmani non raggiungono nemmeno il 5% del totale dei cittadini italiani.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","A Muslim can be subject to psychological disorders like any human being, so before you put everything back on his religion, see if the person you describe is psychologically stable, if not, then sympathize with his condition and offer him to treat himself.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Je suis surement plus légitime dans mon statut de citoyen Français que vous ne l'êtes avec vos propos haineux.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Muslims are the creators of slave trade.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Saprebbe indicarmi con precisione a quali malattie si riferisce?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","The myth is that Islam is an alternative culture, but the truth is that it a barbarism, an ideology similar to Nazism.",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",How can you say such an offensive statement about a religion of 1.6 billion people from all walks of life?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Erreur vous crée de plus en plus de problème contre les musulman.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",This is false Islam and most fraternal of religion for all the world.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Ci sono sicuramente personaggi meno tolleranti verso le altre religioni, come nel cristianesimo d'altronde; ma l'islam non è una religione intollerante.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Ah bon? Et pourquoi donc ne trouvons nous pas de femmes voilées en politique?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","[fact check and post link to accurate statistics, statistic is likely false or extremely skewed][add meme] smh trying to post statistics when they're not even accurate.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Do you actually expect people to believe a fact THIS fake? At least try and think of a believable percentage.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",All muslim women are stupid: we should not be influenced by them.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Our justice system deportes the rapists back to their countries after the sentences are finished. Meanwhile, we should also think about how to stop rapists from both UK and other countries.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Ok si tu le dis.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Ce sont les médias qui alimentent cette peur.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","La République nous apprends la liberté, l'égalité, la fraternité.Aucune religion n'entre en opposition avec ces valeurs.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","While it is well documented that Western colonization brought many diseases among colonized indigenous, there are no proofs of the contrary,that the recent immigration in Italy has brought any disease. Muslims are also two billion, very different from each other in lifestyles and levels of health care.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Giusto! A ognuno le proprie donne da violentare, le italiane agli italiani!",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Aren't there a lot of people in britain (and the states) who want to bring back hanging? Or is that different?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","You speak on behalf of women whose rights are being violated, that's fine. What about women who choose to wear it?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","In the UK, grooming gangs and their perpetrators are majorly White.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Judging from your comment here, if you have been refused service it is likely because of hateful conduct, not the colour of your skin.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",I never answer that statement because it is a irrational statement.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Ce sera toujours mieux que "" les envahisseurs"" ou ""les gilets jaunes""!",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Have you ever met an intolerant Muslim immigrant? Have you ever knew of migrants, and listened to their stories, before you send them back home? Are you sure of what will be the impact of closing the borders on your life? And on all the Italian people working in hospitality?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","What is an Islamic veil? Again, I need a context! Political Islam? What do you mean?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Do you even know what that means?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Retirer la loi contre le voile leur permettrait de retourner travailler.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",C est la peur de l'inconnu qui vous fait dire ça.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Everyone is free to choose.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Credo che il crocifisso a scuola sia una mancanza di rispetto per chi non è credente o ha una fede diversa da quella cristiana.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Exclure une partie des citoyens est un moyen de soumettre les citoyens.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",And yet you're the one who's attacking me.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",This is 99% of the time a personal choice.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",What you said is an extreme case. One of the Islamic principle is to respect for human dignity. Islam condemns violence.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Je vous envoi mon cv et vous me dites ce que vous en pensez? Attention c est un peu long!,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Ce type d'affirmation catégorise une population entière sans fondement aucun.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","""islamophobia"" is a crime.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","I cristiani hanno istituito crociate con la scusa di 'sterminare gli infedeli', dei musulmani invece non si è mai sentito niente del genere.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Les femmes ne sont pas soumises mais libre de leur choix.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Never break bread with a Quranimal. You risk catching HIV and/or Ebola.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Nessun arabo ha mai tentato di imporre la propria religione ad un italiano.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","The vast majority of the nearly two billion Muslims are normal people, like me or you, absolutely peaceful. Few radicalized individuals should not make us generalize. In Italy we also had the indigenous terrorism, this should not allow anyone to do the Italian = terrorist juxtaposition.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Deported where? They are UK Citizens?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Are you forced to pray in a Mosque? Or observe all the rules? As far as I see it, Muslims follow their traditions, that is their right, but they do not convert anyone in our society.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Le voile est un vêtement comme un autre, la laïcité n'impose aucune manière de s'habiller mais prône le respect de chacun et protège la liberté de chacun dans ce choix.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Certaines femmes travaillent. D'autres non. Les femmes voilées sont des femmes. Certaines travaillent. D'autres non.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Quote as silly and unfounded as the one who quotes it.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",It is only a religion.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Are you serious?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Sources? This is hatred.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Ahhh bon! Ahhh c'est pour sa que de plus en plus de français s'expatrie! Au soleil! Euh dans les pays musulmans ou il fait bon vivre!,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Why do you think child rapists would make a religion peaceful? I am sure there are better strategies for making a religion peaceful.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Anyone can practice their religion in Italy, because it is a free and secular country. We cannot stop to welcome people who need help, it would be inhumane.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Assez étonnant cette prétention à savoir ce que pensent les femmes musulmanes.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",What do you mean with 'we will suffer from hunger'?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",The interpretation that man gives to religion often disrupts the meaning.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Can you provide me with statistical studies on this subject?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Do not listen to fools.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Tout un programme.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","In countries like France at school it is forbidden any religious symbol, from the crucifix to the islamic veil.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",We breed pigs to feed muslims.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",How is the veil linked to that?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",This is because you do not have the right frames.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",The veil restores the woman's dignity.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Tous les hommes sont pareils dans leur humanité! Soyez un peu sérieux.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Most religions cause death and despair, but Islam is the worst and cruelest of them all, it is nothing but trouble.",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","It was Islam that first established the rights of women, legal fraternity.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",It is because of the senseless laws that we Muslim women cannot be involved in the innovation of this country and has saddened me very much.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Where did you obtain this information from? Can you send me the source?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Le voile islamique est discret, celles qui le portent le sont bien souvent, et portent en elles un message de tolérance, apaisé.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Pas du tous le voile et une protection.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Funny definition of aggression.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",En France car ils ont peut de la différence de l'autre depuis toujours. Historiquement prouvé.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",A non-Muslim who commits a massacre is just a fool or a criminal.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Que veux dire terroriste.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Sounds more like the Catholic church to me #pope#childabuse #InquiryCSA.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Ce sont là des attaques gratuites et injustifiées qui visent à stigmatiser une communauté.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Muslims, if they cannot assimilate, they should emigrate.",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Hanno intenzione di dominare il mondo intero, dobbiamo prepararci a difendere la nostra nazione lanciando delle bombe su di loro, prima che lo facciano su di noi.",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",You cannot blame all people for actions of a few. Banning something altogether will not solve anything.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Horrific crimes of child sexual abuse and rape are not isolated to a single religion, and are tragically widespread in many societies across the globe.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Muslims rape our women and must be neutered.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",What about the many Muslim people born in this country? Where do you propose to deport them to?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","No, Islam is a religion with a history like any other. Thank you.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Perché una persona come tutti noi dovrebbe morire? Un uomo ha il diritto alla vita e l'Italia è un paese libero.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",I do not think it is. A 'fact' by who?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Bring your proof.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Leggere commenti di donne capaci di scrivere tali cattiverie è ancora più triste.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Saw that in the Mirror, bit of graffiti sprawl across a wall, hardly a shop sign. Have you nothing better than false news?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Analyse du ""nous""? Qui en fait?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",To ban people you respect from practicing their faith because of the actions of a few does seem more that a bit unfair?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",It is like saying all priests are pedophiles.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",C'est vous qui manquez de tolérance vis à vis d'une personne qui ne pense pas comme vous.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",C'est les politiques qu'ils l'ont rendu compliqués avec des lois qui ont ni queues ni tête.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",And based on what do you say it?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","The Islamic veil has no source in political Islam, but can be used for a political purpose.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Not at all the veil and protection.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Ce n'est pas une déclaration factuelle.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",She is free to dress as she wishes.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Purs mensonges.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Non tutti i musulmani sono contro i cristiani, quelli di cui parla lei sono solo una piccola parte che non rappresenta la religione islamica per intero.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Islam is not a faith, it is a motivation for stupid sexual disturbed persons and for criminals who contaminate the world.",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Si tratta di crimini orrendi e vergognosi, moltissime volte perpetrati allinterno delle mura domestiche e in ambito familiare.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",L'obligation est d'ordre religieuse mais la femme peut choisir de ne pas le porter: c'est son choix et seul Dieu la jugera.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",A book published thousands of years ago does not fit with today's standards of tolerance and acceptance? Shocking!,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Islam purpose is only the conquest.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Quelli che compiono attentati non sono motivati da fede religiosa ma da fanatismo che nulla ha a che fare con la religione, se non la scusa.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Ho degli amici che sono rifugiati e godono di diritti come ad esempio quello allo studio. Loro non hanno mai ammazzato nessuno.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Better be interested in those women who have veil in their mind and not on their heads.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Connaissez vous d'autres mots en ""iste"" pour 5pts.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",How can you say that about a faith of 1.6 billion people?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","False Islam never rejected anyone, Islam is not only made for Maghreb, Arab, etc. The Muslim religion is for the world.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Il est permis de discriminer les femmes voilées.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",How can you say this about an entire of group of people from all walks of life?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Ask them your questions, they will be happy to discuss the subject!",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Faux, essayer de côtoyer des musulmans et vous verrez.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",#islamophobie. Islam is not a disease. It is not contagious.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Notre pays c'est la France! C'est ici que nous sommes nés, c'est ici que nous avons grandi, c'est ici que nous payons nos impôts et c'est ici que nous mourrons.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",I am Muslim and French and proud of being here.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Il rapporto numerico tra chiese e moschee è ovviamente sbilanciato a favore delle prime.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",We bombard also Lombardy because there are corrupts and Campania because there is the Camorra? For a few guilty we cannot generalize.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","I musulmani abusano delle donne italiane, dobbiamo castrarli!",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Tous les jours l islam vous prouve le contraire.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","The world would actually be a very dark place without Muslims who contribute a lot to our society. What about our Muslim, doctors, scientists, philanthropists, actors, job-creators.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","I do not believe that in the Koran is written anything like that. Bible instead is famous for its bloody scenes, so I think we should avoid such dangerous generalizations.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Quid des sog'es Dans les autres religions?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Sono bestie, tengono le loro donne in casa e sotto il velo, poi escono e violentano le nostre.",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Rifiutiamo le moschee, sono solo dei luoghi d'incontro per estremisti!",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Your hatred is the disease, tolerance is the cure.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",You can always divert your gaze.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",If it is then it certainly hasn't been a religion of 'conquest' quite as successfully as some others. What about Christianity and colonialism?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",The quran says that muslims should not seek hostility towards those who haven't sought any war against them. Jihadists do not represent the islamic faith.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",S'ils étaient tous terroristes il y aurait actuellement des millions de terroristes sur la terre! Enfermons les tous!,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",We'll have to open a Koran before speaking in the name of Islam and especially during review your history.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",C'est un cliché islamophobe.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","It is not true, but even if it was true, I am not aware that all Italian criminals have been deported in the past. I remind you that we have exported the mafia all over the world, huh.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",We live in a free country where everyone dresses up as they want.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",You are a pessimIST.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","During the Nazi period, Muslims have voluntarily protected the Jews.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Try to see how many churches there are in Italy and how many mosques. If you lived in Dubai, and the situation was reversed, wouldn't you want that there was at least one church?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Do you know the numbers of the votes of Britain Muslims?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","It does not appear anywhere that an Arab is trying to command in our country unless the members of the government have Arab ancestors, which is very likely given that we Italians are one of the most mixed peoples in the world.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Le voile islamique est la démonstration d'un islam politique.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","It seems to me that you throw the baby out with the bathwater. Fanatics and thugs are everywhere, but that's not enough to say that all of them are!",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Les musulmans ne sont pas tolérants envers les juifs et les chrétiens.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",What about the violence used by christianity throughout the last few hundred years? Do the crusades sound like a 'muslim issue'?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",There are many currents in Islam and many ways of practising your religious knowledge according to your free will. What you say makes no sense. I'm not sure you know what you're talking about.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Basons nos relations sur le respect des valeurs de respect mutuel, Liberté , Fraternité, Egalité! C'est ce qui nous permettra le vivre ensemble en paix soyons intelligents.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","In Italy we have had no recent attack by Arabs. Moreover, even in European countries where these despicable events took place, it was not an action of conquest, but only terrorist actions.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Capisco la paura legata a questi orrendi crimini, ma dovrebbero essere condannati a prescindere dalla nazionalità.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",All Muslims are incompatible with any Western society.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",C'est du grand n'importe quoi.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Coercion is forbidden in religion, according to the Koran. We can assume that it is their own will.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",And what should we do with he bigots and racists?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Also your hate.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Conosce le cifre relative alle spese di accoglienza? E quelle che forniscono i migranti ogni anno al fisco italiano?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","We aren't allowed to build churches in their countries, why should they be allowed to build Mosques in ours?",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Nel Corano non c'è nemmeno una parola che possa legittimare o quanto meno giustificare il terrorismo. Invito a leggerlo per arricchire la cultura generale.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Hatred and xenophobia must be fought, nothing else.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",26% of all doctors in the NHS are Asian or British Asian and abhor FGM. They are making a difference instead of just spreading hate and division in our community.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Chiunque violenti una donna in territorio italiano non va castrato, dovrà piuttosto scontare la pena che prevedono le nostre leggi.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","The Muslim population is becoming more and more important demographically, that is a fact. On the other hand, the problem often comes from those who are intolerant of differences and not from Muslims themselves.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Tutte le religioni parlano di accoglienza e di amore, la bibbia come il corano. Alcuni invasati, da un lato e dall'altro non possono impedire il quieto vivere tra gli esseri umani.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Many times in history, Muslims have welcomed Jews persecuted by Christians in Europe.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",You watch too much bfmtv.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",What have 'all' Pakistani people done to deserve deportation? Sweeping generalisations like this are divisive and fuel false fearmongering around migrants.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Do you have proof?!,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","No one is preventing you to profess your religion, you can continue to be a Christian even if the crucifix isn't in schools.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Allowing the construction of a mosque confers credit to us, it means respecting the other in all its diversity.",non-hate
